,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
303,10.801,123.04465,3-[4-chloranyl-5-cyclopropyl-3-(trifluoromethyl)pyrazol-1-yl]-N-[(1-ethyl-3-methyl-pyrazol-4-yl)methyl]-N-methyl-propanamide,,,,124.04742,,,C18 H23 Cl F3 N5 O,,,,,,,,,,,,,,,,,,,,,0.609,26.5,515,1954,,,,124689,88374,,159474,95182,,,4975,16016,160047,159192,157434,,125301,,101553,87601,,84453,83914,,,,,,
304,10.817,205.08646,"1,2-Benzenedicarboxylic acid, butyl 2-methylpropyl ester",,,,149.02319,,,C16 H22 O4,,,,,,,,,,,,,,,,,,,,,0.972,98.4,891,1955,,,,24170755,36428669,17198993,60210417,28155684,28297566,8003785,13721993,7225240,57274022,33697831,44930886,32109420,65474831,54126344,15047990,11960704,20301005,12586948,19854256,,,,,,
305,10.827,177.09157,Peak@10.827,,,,127.07536,,,,,,,,,,,,,,,,,,,,,,,,0,,,1957,,,,949873,1038669,921716,1447442,487806,1090093,209,567,1660,4265409,2091549,4530414,2667424,1998206,1568569,477728,,619048,478974,177597,,,,,,
306,10.839,187.14873,Peak@10.839,,,,123.08047,,,,,,,,,,,,,,,,,,,,,,,,0,,,1958,,,,1562403,1443146,1259728,1904147,824208,1910945,23918,71362,56599,7743988,3786454,7508083,4405156,2770286,2196673,679929,237734,856442,691339,188461,,,,,,
307,10.843,249.07991,Butyl 9-tetradecenoate,,,,103.05419,,,C18 H34 O2,,,,,,,,,,,,,,,,,,,,,0.826,79.9,533,1958,,,,186007,162770,212076,243789,96387,114629,4541,8567,5491,132783,127143,105867,137980,301673,228951,82650,22833,87050,76594,103055,,,,,,
308,10.849,150.14082,"8,11-Heptadecadienal, (8Z,11Z)-",,,,79.05421,,,C17 H30 O,,,,,,,,,,,,,,,,,,,,,0.908,96.8,602,1959,73,,,11216324,9692510,8483562,13835997,10123488,6370265,7899,31086,30529,24007718,10687018,22119473,15673709,11133863,8738052,2514769,1168142,2343624,2824810,1965006,,,,,,
309,10.852,256.24039,n-Hexadecanoic acid,,,,55.01786,,,C16 H32 O2,,,,,,,,,,,,,,,,,,,,,0.964,99.5,831,1960,8,,,24388634,17075489,18698063,25866080,16319674,7495714,6075,31995,25256,18943479,4872263,16363324,11881982,14548676,11974666,3867636,708154,1820775,3722130,634191,,,,,,
310,10.852,166.1721,cis-11-Hexadecenal,,,,83.08549,,,C16 H30 O,,,,,,,,,,,,,,,,,,,,,0.947,99.2,749,1960,155,,,40810674,31255107,25725270,45747984,32141514,15375620,134772,501487,461762,47724541,28367642,45328198,28129431,31087117,24285852,7366204,1885497,4523590,7516673,2004482,,,,,,
312,10.943,163.14871,"6,6-Dimethoxy-3-methylhexene",,,,76.04705,,,C9 H18 O2,,,,,,,,,,,,,,,,,,,,,0.824,75.5,609,1970,,,,16642,4933,43780,52911,6355,13194,,,,48023,15868,28686,21461,24311,,6830,10519,,13664,17928,,,,,,
311,10.944,137.13306,"Silane, trimethyl[1-methyl-3-[(tetrahydro-2H-pyran-2-yl)oxy]-1-propenyl]-, (Z)-",,,,138.10394,,,C12 H24 O2 Si,,,,,,,,,,,,,,,,,,,,,0.817,91.7,500,1970,,,,14031,21178,8422,13903,6687,34369,,356,4607,128461,,,109686,16565,48288,7356,53181,27639,9162,53848,,,,,,
313,10.948,227.22485,Tetradecanamide,,,,128.10698,,,C14 H29 N O,,,,,,,,,,,,,,,,,,,,,0.956,99.1,800,1970,,,,13289044,61778,10212,27387,1342559,385420,,,,1852746,1832240,1988314,55761,36929,30312,5373,5158,5482,4228,3382,,,,,,
314,10.952,563.07513,Peak@10.947,,,,128.10703,,,,,,,,,,,,,,,,,,,,,,,,0,,,1971,,,,13289044,61778,10212,27387,1342559,385420,4730,43488,38908,1852746,1832240,1988314,55761,36929,,5373,5158,5482,4228,3382,,,,,,
315,10.971,166.98616,2(3H)-Benzothiazolethione,,,,108.00275,,,C7 H5 N S2,,,,,,,,,,,,,,,,,,,,,0.972,97.1,917,1974,,,,883708,216105,1051411,98041,529701,3840514,,,,5483842,284839,8685982,4234,282625,2403813,14940159,258104,4550120,12942524,20110,,,,,,
316,10.982,234.08923,"Ethyl 6-hydroxy-3,4-dimethylbenzofuran-2-carboxylate",,,,162.06758,,,C13 H14 O4,,,,,,,,,,,,,,,,,,,,,0.912,99.9,561,1975,,,,,107625,652117,357121,258532,162544,,,,,,2701,398813,356358,309016,32018,16071,15098,302792,305253,,,,,,
317,10.982,201.16428,"(3R,3aR,6R,8aR)-3,8-Dimethyl-5-(propan-2-ylidene)-1,2,3,4,5,8a-hexahydro-6H-3a,6-epoxyazulen-6-yl 2,2,2-trifluoroacetate",,,,134.10461,,,C17 H21 F3 O3,,,,,,,,,,,,,,,,,,,,,0.875,92.7,522,1975,413,,,8720,8497,16438,45373,18664,61829,,1348,794,21982,39049,45708,57181,232292,153746,34174,13715,33668,13509,27940,,,,,,
318,10.995,460.95203,"Methyl 2-(4-hydroxy-3-(3-methylbut-2-en-1-yl)-5-(2-methylbut-3-en-2-yl)benzyl)-3-(4-hydroxyphenyl)-4-methoxy-5-oxo-2,5-dihydrofuran-2-carboxylate",,,,243.21068,,,C30 H34 O7,,,,,,,,,,,,,,,,,,,,,0.915,95.8,657,1976,1567,,,,1785404,291522,1332754,878301,2438658,1510,4014,5265,981308,185526,2229944,1319040,12990323,9086187,1372569,95280,1095481,872800,329430,,,,,,
319,11.036,317.12408,Peak@11.032,,,,203.05548,,,,,,,,,,,,,,,,,,,,,,,,0,,,1980,,,,,262581,4934,1151251,112309,121555,,,,,20178,,450235,405705,273605,,723,629,347965,369619,,,,,,
320,11.062,371.06543,"(3,5-dimethyl-4-nitrophenyl)methanol",,,,164.06378,,,C9 H11 N O3,,,,,,,,,,,,,,,,,,,,,0.627,29.3,548,1984,,,,135135,425775,145738,540855,95478,141497,1625,6886,4367,239849,214934,238011,341544,865800,688639,93158,83256,108321,159718,402006,,,,,,
321,11.065,460.95203,Peak@11.065,,,,429.08871,,,,,,,,,,,,,,,,,,,,,,,,0,,,1984,,,,1339063,3872073,1463158,4592873,908626,1458288,25758,84650,102745,2364992,2372985,2241325,3841489,8071164,6825879,1086189,948471,1238234,1618473,3800602,,,,,,
322,11.068,237.07986,"Octadecane, 1-isocyanato-",,,,99.06778,,,C19 H37 N O,,,,,,,,,,,,,,,,,,,,,0.953,98.4,795,1985,,,,1110706,2202865,1523413,391779,1267437,880015,3368692,6011742,5225170,803991,1007493,884858,511545,571530,665045,1415858,1866159,982966,1187359,1236637,,,,,,
323,11.069,475.00406,"4-Amino-3-(1-(furan-2-ylmethyl)-5-methoxy-2-methyl-1H-indol-3-yl)-1H-1,2,4-triazole-5(4H)-thione",,,,475.00351,,,C17 H17 N5 O2 S,,,,,,,,,,,,,,,,,,,,,0.622,27.1,570,1985,,,,111984,266062,128924,325748,83923,185103,3998,10104,8562,164087,168009,168159,414320,707304,568839,86780,75228,101224,203104,423386,,,,,,
324,11.071,381.15872,"Ethyl 5-[N-(2-Amino-4,5-dimethylphenyl)amino]-6-chlorocyclopenta[1,2,3]dithiazole-4-carboxylate",,,,313.11389,,,C16 H16 Cl N3 O2 S2,,,,,,,,,,,,,,,,,,,,,0.583,20.3,507,1985,,,,5144,8981,25513,40776,,261022,,619,656,2993,7245,6290,641764,492323,465590,27412,52959,35226,381341,702347,,,,,,
325,11.073,458.97275,"1,1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15,17,17,19,19,19-docosamethyldecasiloxane",,,,221.08444,,,C22 H66 O9 Si10,,,,,,,,,,,,,,,,,,,,,0.917,99.7,590,1985,,,,739064,3064072,1252970,10307624,1811499,9754586,6240,33331,41457,1295604,1220923,1271795,27809358,25126473,22854882,1029430,1064155,1144647,17528399,37675178,,,,,,
327,11.097,101.06023,(2S)-Heptanediol,,,,165.12743,,,C7 H16 O2,,,,,,,,,,,,,,,,,,,,,0.875,90.3,569,1988,,,,9260,28577,44904,,21608,18444,3316,21292,18164,45770,63937,90806,21955,55645,8811,14152,21140,14904,11585,8398,,,,,,
326,11.101,240.18776,"1,1-Dipropyl-1,4-dihydroazulene",,,,99.08042,,,C16 H22,,,,,,,,,,,,,,,,,,,,,0.801,72.8,549,1988,,,,43899,36788,22156,25361,4225,7159,,2513,2305,54211,,47141,47321,14145,16190,42278,3669,30810,16494,9583,,,,,,
328,11.102,256.21905,"Adipic acid, hexyl pentyl ester",,,,131.08557,,,C17 H32 O4,,,,,,,,,,,,,,,,,,,,,0.89,97.2,503,1989,,,,,116777,126913,125151,109304,238805,3579,9319,3494,255049,,578356,100807,493875,526806,337305,52084,511480,380817,94159,,,,,,
329,11.119,183.08087,"Oxalic acid, allyl octadecyl ester",,,,98.10896,,,C23 H42 O4,,,,,,,,,,,,,,,,,,,,,0.923,98.4,646,1991,,,,43162,22045,62736,63781,28894,35715,822,6518,5365,103676,,103922,18138,26817,23933,27392,6448,,15938,3487,,,,,,
330,11.119,43.05477,Dimethyl 2-isopropyloxymalonate,,,,89.05966,,,C8 H14 O5,,,,,,,,,,,,,,,,,,,,,0.872,88.6,588,1991,,,,90030,17338,23272,81167,27552,127853,,,281,293686,70986,,67962,197329,241881,315143,39223,227807,239333,66381,,,,,,
332,11.135,427.16434,"Butyl 4,4,6,6,8,8-hexamethyl-11-oxo-3,5,7,9,12-pentaoxa-4,6,8-trisilahexadecan-1-oate",,,,133.05003,,,C18 H40 O8 Si3,,,,,,,,,,,,,,,,,,,,,0.883,95.3,510,1992,,,,266775,28122493,81355,47223024,10640304,16798636,3233,13779,10380,569860,549000,578893,68696305,68897883,66405517,33547,10011,16843,25018352,30795717,,,,,,
331,11.136,504.10809,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",,,,343.01489,,,C16 H50 O7 Si8,,,,,,,,,,,,,,,,,,,,,0.908,98.4,569,1992,,,,110287,3066225,119303,5225929,1055548,1769784,722,1645,5662,240062,225442,233436,8523129,9023999,8331320,74431,52132,84123,3191364,3772877,,,,,,
333,11.14,503.10806,"Cyclodecasiloxane, eicosamethyl-",,,,430.08832,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.903,100,515,1993,42,,,396394,1076435,423157,1288824,1518676,2550057,8448,21101,29009,682009,693229,638418,11729495,12082453,10842006,309010,262210,347946,4211579,5006091,,,,,,
334,11.14,607.17364,"Cyclooctasiloxane, hexadecamethyl-",,,,400.98459,,,C16 H48 O8 Si8,,,,,,,,,,,,,,,,,,,,,0.902,94.8,613,1993,289,,,439316,4243589,497903,6713282,141514,5256078,,15236,24687,804351,760952,768497,29016568,30078121,26648051,329040,288454,385240,12916596,13748033,,,,,,
335,11.144,241.1956,"[2-(Benzo[4,5]thiazolo[2,3-c][1,2,4]triazol-3-ylsulfanyl)ethyl](dimethyl)amine",,,,160.12024,,,C12 H14 N4 S2,,,,,,,,,,,,,,,,,,,,,0.89,93.6,576,1993,,,,74715,60287,83474,68953,78244,319496,1873,3355,1959,347177,24977,753103,18943,359535,289888,473359,31399,636657,521263,28303,,,,,,
336,11.144,649.22046,"Desmoscochinflavone A, 4TMS",,,,420.99194,,,C34 H48 O6 Si4,,,,,,,,,,,,,,,,,,,,,0.705,47.8,567,1993,1624,,,32407,,30906,,,180417,1109,2996,2741,,,,907243,866440,729851,27189,33072,36293,458558,473254,,,,,,
337,11.145,241.19563,"a C5 - octahydro - phenanthrene,e.g. an isomer of 19 - nor - abieta - 8,11,13 - triene",,,,117.06989,,,C19 H28,,,,,,,,,,,,,,,,,,,,,0.917,94.8,687,1994,,,,360822,321719,412684,,294699,980031,12320,9964,,1148793,77685,2225510,167225,1733453,1779899,1625583,121823,2080765,1671757,106288,,,,,,
338,11.151,418.99588,"7-(4-Fluorophenyl)-2-phenyl-9-p-tolyl-7H-pyrrolo[3,2-e][1,2,4]triazolo[1,5-c]pyrimidine",,,,117.06989,,,C26 H18 F N5,,,,,,,,,,,,,,,,,,,,,0.725,54.5,535,1994,,,,360822,321719,412684,455911,294699,980031,12320,9964,13571,1148793,77685,2225510,,1733453,1779899,1625583,121823,2080765,1671757,106288,,,,,,
339,11.156,489.05612,Peak@11.152,,,,241.19514,,,,,,,,,,,,,,,,,,,,,,,,0,,,1994,,,,266922,176925,204757,252194,178479,836680,822,2420,5330,915130,87652,1969723,87069,949270,961590,1216169,70162,1651378,1389307,50214,,,,,,
340,11.166,243.21121,Palmitic acid vinyl ester,,,,239.17941,,,C18 H34 O2,,,,,,,,,,,,,,,,,,,,,0.909,97.5,597,1996,19,,,381544,560361,345269,606236,412410,1095846,78889,87900,51418,1023060,161471,2019802,266335,2179644,2190903,1815114,178665,2107471,1774352,232191,,,,,,
341,11.171,239.18001,"Carbonic acid, eicosyl vinyl ester",,,,240.18275,,,C23 H44 O3,,,,,,,,,,,,,,,,,,,,,0.929,97.7,692,1997,500,,,57473,107257,58037,106145,71721,216970,13926,16802,9058,186420,36189,360076,55979,374477,421813,332878,33314,393003,315357,43013,,,,,,
342,11.174,209.13303,"Oxalic acid, 2-ethylhexyl hexyl ester",,,,72.08885,,,C16 H30 O4,,,,,,,,,,,,,,,,,,,,,0.902,94.2,624,1997,,,,193058,143840,195895,339249,125358,148754,21872,11772,3534,353402,62467,123525,210885,180458,300676,144616,65242,124859,75206,57215,,,,,,
343,11.18,98.1095,"Tetradecane, 2,5-dimethyl-",,,,71.08553,,,C16 H34,,,,,,,,,,,,,,,,,,,,,0.964,98.7,846,1998,,,,,3807510,4395130,6802251,4339520,4260411,411130,200071,68719,5754582,,2533235,4963792,5506462,9130901,2585402,1036499,2087770,2220716,2140739,,,,,,
344,11.199,471.13623,"(2S,2'R,4'R,5'R)-2-[(2'-Aza-3'-methoxymethylbicyclo[3.3.0]octane-2'-yl)amino]-4-phenylbutane-1-cyclohexyl sulfonate",,,,133.1044,,,C25 H40 N2 O4 S,,,,,,,,,,,,,,,,,,,,,0.842,85.1,509,2000,,,,,663232,34008,2751519,761550,1643660,,,2782,,,,4828252,4619418,3686208,1150,,,2262141,2498611,,,,,,
345,11.204,471.13611,"Heptasiloxane, hexadecamethyl-",,,,207.0688,,,C16 H48 O6 Si7,,,,,,,,,,,,,,,,,,,,,0.895,97.5,527,2001,448,,,3295,1104058,26774,10308027,1373155,4227284,,,343,8485,2819,6475,18009491,18129534,14333450,2903,,,6502595,7942841,,,,,,
346,11.212,323.09869,"3,5-Dimethyl-3,5-divinyl-5-chloro-1,3,5-trisiloxane",,,,134.07259,,,C9 H21 Cl O2 Si3,,,,,,,,,,,,,,,,,,,,,0.632,32.6,508,2002,,,,112792,323704,44517,357120,170625,152018,,,,149203,139897,137356,,462314,429622,31242,22322,52957,,116039,,,,,,
347,11.225,355.07053,"Cyclopentasiloxane, decamethyl-",,,,165.06996,,,C10 H30 O5 Si5,,,,,,,,,,,,,,,,,,,,,0.834,80,571,2002,827,,,78469,42495,44120,,49962,,11221,,6465,34405,,102354,,178574,125785,360971,35298,46027,,113665,,,,,,
348,11.225,299.06232,"1,1'(3H,3'H)-Spirobi[2,1-benzoxaphosphole], 3,3,3',3'-tetramethyl-",,,,127.05424,,,C18 H21 O2 P,,,,,,,,,,,,,,,,,,,,,0.715,50.8,556,2003,,,,,5286,16727,,19402,,,,,27032,,21107,8499,59866,32376,,13520,15096,59481,33051,,,,,,
350,11.234,200.0838,"Phenol, 2,2'-methylenebis-",,,,152.06207,,,C13 H12 O2,,,,,,,,,,,,,,,,,,,,,0.73,55.7,537,2004,19,,,301140,76623,268903,480050,176297,323637,5082,,2765,204692,129060,317467,145589,462751,253618,1323234,231743,266103,647277,368717,,,,,,
349,11.234,375.0159,Peak@11.230,,,,153.06995,,,,,,,,,,,,,,,,,,,,,,,,0,,,2004,,,,174837,55204,162892,,83678,,8269,7437,4202,96541,78453,185586,70250,269231,144462,866466,112100,137482,,160295,,,,,,
351,11.237,200.08371,"Phenol, 2,2'-methylenebis-",,,,200.08316,,,C13 H12 O2,,,,,,,,,,,,,,,,,,,,,0.955,97.1,834,2005,20,,,757668,139208,691418,1156217,420681,863801,,,1523,462614,347229,918398,321775,1082373,586269,2915107,568855,714424,1685323,893916,,,,,,
352,11.244,155.06094,"Arachidamide, N-methyl-",,,,86.06003,,,C21 H43 N O,,,,,,,,,,,,,,,,,,,,,0.927,98.1,673,2006,627,,,682512,212170,20104,17583,62158,102819,1944,,,487457,996906,1235369,125527,65389,37815,11660,7338,15384,10854,5578,,,,,,
353,11.269,261.07989,Peak@11.269,,,,245.22635,,,,,,,,,,,,,,,,,,,,,,,,0,,,2009,,,,24146,13762,9304,20784,17241,50023,1724,,,68756,,128300,12404,113546,91136,57389,4966,62293,47195,8329,,,,,,
354,11.306,311.24063,"palmitoleic acid, 1TMS",,,,110.109,,,C19 H38 O2 Si,,,,,,,,,,,,,,,,,,,,,0.924,96.2,694,2014,,,,,176035,175786,460693,234232,249335,6393,10791,12019,625277,479032,,269523,125971,420993,85926,6134,122719,421572,234807,,,,,,
355,11.313,344.97705,Peak@11.313,,,,239.17947,,,,,,,,,,,,,,,,,,,,,,,,0,,,2015,,,,76291,76658,56833,219896,70674,64078,21762,25347,15432,62569,31159,80089,30321,198356,173577,62389,34517,63132,46618,62889,,,,,,
357,11.319,256.25143,N-(3-Dimethylaminopropyl)-octadecanamide,,,,219.21062,,,C23 H48 N2 O,,,,,,,,,,,,,,,,,,,,,0.936,99.3,692,2016,831,,,,16854,14462,17897,74481,79665,439,3557,2797,109429,99071,31210,201838,242739,220084,15787,13971,12151,8185,17368,,,,,,
356,11.319,615.19659,Peak@11.323,,,,257.22644,,,,,,,,,,,,,,,,,,,,,,,,0,,,2016,,,,65665,46628,25263,157493,56286,49367,2530,3896,6178,67374,35552,67953,,,112851,26881,23359,42133,16752,45048,,,,,,
358,11.332,157.12298,"(1R)-1-(2-naphthalenyl)ethane-1,2-diol",,,,157.12244,,,C12 H12 O2,,,,,,,,,,,,,,,,,,,,,0.669,38.7,573,2017,,,,1516101,2939520,2717153,2882647,1394649,1504444,12808,28725,24555,2106942,1051808,2724657,4879976,4941274,4076302,1451807,734421,1126584,1174318,650734,,,,,,
359,11.335,326.96643,Peak@11.335,,,,69.03352,,,,,,,,,,,,,,,,,,,,,,,,0,,,2018,,,,332514,87582,67679,124136,97669,106036,3247,6776,2066,180841,208327,,292096,288036,266764,45532,19173,13662,71818,74145,,,,,,
360,11.336,256.2402,"6-Chloro-2,3-dimethyl-5-nitroquinoxaline",,,,239.23692,,,C10 H8 Cl N3 O2,,,,,,,,,,,,,,,,,,,,,0.597,21.6,552,2018,,,,59460,53243,53591,47932,360897,390270,6281,12632,9490,136420,114352,62556,881659,1014210,892884,57922,60830,57798,39523,,,,,,,
361,11.339,266.99975,Isopropyl palmitate,,,,60.02057,,,C19 H38 O2,,,,,,,,,,,,,,,,,,,,,0.942,97.6,756,2018,6,,,3245725,4588756,6923597,8232652,5443129,5136935,61800,114937,89258,2311380,1722731,2587238,12960159,16647757,14094775,2965943,1280164,2952118,3123080,1687040,,,,,,
362,11.343,123.01428,"9-Tetradecen-1-ol, acetate, (E)-",,,,152.15602,,,C16 H30 O2,,,,,,,,,,,,,,,,,,,,,0.868,88.3,575,2019,,,,,25167,22803,92044,43438,60181,215,3544,3759,315951,249313,86545,59328,80162,46283,10281,7983,11708,71254,35639,,,,,,
363,11.347,193.19568,"1,14-Tetradecanediol",,,,110.10898,,,C14 H30 O2,,,,,,,,,,,,,,,,,,,,,0.96,99.1,815,2020,,,,,176035,175786,460693,234232,249335,6393,10791,12019,625277,288307,,269523,371168,420993,85926,58668,122719,421572,234807,,,,,,
364,11.361,281.0517,"Cyclooctasiloxane, hexadecamethyl-",,,,44.02568,,,C16 H48 O8 Si8,,,,,,,,,,,,,,,,,,,,,0.886,95,532,2022,318,,,7748,17359,,,18938,39757,380,2259,3910,35489,45957,23475,,,26280,4904,6147,19347,96591,33070,,,,,,
365,11.371,402.96457,"N-[2-[3,5-bis(trimethylsilyloxy)phenyl]-2-trimethylsilyloxy-ethyl]-N-tert-butyl-2,2,2-tris(fluoranyl)ethanamide",,,,384.98969,,,C23 H42 F3 N O4 Si3,,,,,,,,,,,,,,,,,,,,,0.884,90,617,2022,,,,,6262,,23565,3070,3806,248,,,,,,19338,23333,,1513,,,12729,26198,,,,,,
366,11.38,397.1174,Peak@11.375,,,,281.14194,,,,,,,,,,,,,,,,,,,,,,,,0,,,2023,,,,,89518,6421,297075,64382,93750,,,,,,,237549,,213379,1591,464,,168450,220418,,,,,,
367,11.413,493.15362,Peak@11.417,,,,190.07779,,,,,,,,,,,,,,,,,,,,,,,,0,,,2029,,,,19775,,,16184,,33316,,3818,1286,,5118,70594,8099,19252,35345,,4803,,51937,5736,,,,,,
368,11.44,211.20627,"Tetradecanoic acid, 2-hydroxyethyl ester",,,,86.03623,,,C16 H32 O3,,,,,,,,,,,,,,,,,,,,,0.932,99.8,666,2031,,,,567050,11043,,33092,290951,206330,,1656,829,389040,335141,353134,31209,101684,39806,3859,,20386,12379,5393,,,,,,
369,11.445,278.18817,"1,1'-(4,6-Bis(n-propyl)oxy-1,3-phenylene)bisethanone",,,,278.18762,,,C16 H22 O4,,,,,,,,,,,,,,,,,,,,,0.856,86.1,556,2032,210,,,106924,235218,33804,1149623,186377,58353,,,,80713,20269,34395,93636,164928,97078,37221,2568,4592,109018,75007,,,,,,
370,11.458,241.19563,"1-Phenanthrenecarboxaldehyde, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1S-(1a,4aa,10aﬂ)]-",,,,241.19508,,,C20 H28 O,,,,,,,,,,,,,,,,,,,,,0.962,99.5,822,2034,255,,,272840,238519,179722,407748,240938,654142,1221,4940,5037,704487,101543,1449633,121161,,1026405,1172455,81700,1382354,1053498,117854,,,,,,
371,11.502,328.27997,"Palmitic Acid, TMS derivative",,,,129.03665,,,C19 H40 O2 Si,,,,,,,,,,,,,,,,,,,,,0.872,87.4,609,2040,9,,,4134012,955618,71553,1143821,251808,845935,,627,273,27972098,30726494,6649887,840484,1053022,676556,18817,4502,9037,345285,219390,,,,,,
372,11.519,112.12072,"2-Tetradecynal, 4-hydroxy-",,,,181.15869,,,C14 H24 O2,,,,,,,,,,,,,,,,,,,,,0.951,99.1,774,2042,,,,75179,12354,2780,7046,24877,28138,,,201,159931,122861,143665,,15690,,3069,1275,,3799,332,,,,,,
373,11.527,266.24838,"Octadecane, 1-isocyanato-",,,,116.04679,,,C19 H37 N O,,,,,,,,,,,,,,,,,,,,,0.917,95.8,668,2042,,,,2706351,15822,5683,5181,568245,,,,,,2394157,2365611,28920,,10155,6853,7122,18167,8520,11573,,,,,,
374,11.528,211.20621,"Tetradecanoic acid, 2-hydroxy-1-(hydroxymethyl)ethyl ester",,,,211.20566,,,C17 H34 O4,,,,,,,,,,,,,,,,,,,,,0.9,98.3,533,2042,260,,,5529442,32539,12980,14143,1257722,1112698,,,,5568959,5063934,4941348,62622,31726,17552,19907,15441,37434,20535,21826,,,,,,
375,11.544,208.0363,"N,N-Dimethyldodecanamide",,,,45.05731,,,C14 H29 N O,,,,,,,,,,,,,,,,,,,,,0.96,99,817,2045,63,,,1690078,90204,13565,8492,266019,175476,,467,1870,1315933,705072,639561,44418,24601,22372,8608,3033,5087,7399,9163,,,,,,
376,11.602,455.17758,Tris(trimethylsiloxy)(vinyl)silane,,,,238.07899,,,C11 H30 O3 Si4,,,,,,,,,,,,,,,,,,,,,0.783,66.9,576,2053,950,,,14304,26096,10024,562787,129825,161587,510,261,1072,28026,32974,49090,111288,126794,106957,11851,1677,10455,428180,,,,,,,
377,11.608,295.10379,"N-(2-Chloro-5-nitrophenyl)-7-(6-methylpyridin-2-yl)pyrazolo[1,5-a]pyrimidine-3-carboxamide",,,,238.07895,,,C19 H13 Cl N6 O3,,,,,,,,,,,,,,,,,,,,,0.86,78.4,729,2054,,,,14304,26096,10024,562787,129825,161587,,261,1072,28026,32974,34899,111288,126794,106957,11851,8351,10455,428180,590764,,,,,,
378,11.615,206.10954,"Phenanthrene, 2,5-dimethyl-",,,,192.08891,,,C16 H14,,,,,,,,,,,,,,,,,,,,,0.956,95.2,875,2054,,,,28504,6160,24448,12125,16617,65225,266,469,543,87495,5133,,2676,23136,55312,118918,8182,167936,154062,2393,,,,,,
379,11.635,242.20349,"10,18-Bisnorabieta-8,11,13-triene",,,,143.08557,,,C18 H26,,,,,,,,,,,,,,,,,,,,,0.959,98.2,832,2057,,,,218304,1071779,300409,665072,506069,1011271,,7179,,898210,157837,1632647,489123,3659676,3151517,1121088,78611,924046,1018963,192760,,,,,,
380,11.656,241.09866,"10-[(per-Deuterio)benzylthio]-1,8-dihydroxy-9-anthrone",,,,355.06998,,,C21 H9 D7 O3 S,,,,,,,,,,,,,,,,,,,,,0.522,1.8,574,2060,,,,36173337,24477693,60954562,37075194,82329077,73549923,,,,49861358,36694846,31454688,,,15937485,2928460,,29570977,40565382,76562220,,,,,,
381,11.657,206.05698,"2,4(1H,3H)-Quinolinedione, 3-benzoyl-3-(phenylmethyl)-",,,,355.06998,,,C23 H17 N O3,,,,,,,,,,,,,,,,,,,,,0.453,0.5,506,2060,,,,3300554,3410529,4161080,9190920,6173464,13491342,,,,5192174,4662561,3985019,4124835,114251728,72000364,43714010,51879395,4037782,2230070,7066171,,,,,,
382,11.68,301.06589,"Phthalic acid, butyl 5-methoxy-3-methylpent-2-yl ester",,,,150.04449,,,C19 H28 O5,,,,,,,,,,,,,,,,,,,,,0.712,49.4,570,2063,,,,7269071,7832268,11282406,21750762,11528194,15014341,8224,12268,8529,8072229,7737639,7113520,7233667,43003831,31651309,7564215,8201959,9990113,4904506,15110813,,,,,,
383,11.687,429.08926,"1,1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15,17,17,19,19,19-docosamethyldecasiloxane",,,,356.06924,,,C22 H66 O9 Si10,,,,,,,,,,,,,,,,,,,,,0.918,98.4,620,2064,,,,40031373,43567943,64580070,139717871,63479590,91670452,48675,69709,44831,46400033,45149624,44373185,39598738,274642557,209272853,42083041,45334347,58417472,25227991,91107204,,,,,,
384,11.689,577.12659,"Cyclodecasiloxane, eicosamethyl-",,,,534.97028,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.908,99.8,544,2065,30,,,9479423,9811598,14321443,32194392,15095463,20617608,14983,21755,13694,11149094,10067146,10063128,8739020,53132859,44379280,9285678,10435606,13227976,5539517,20739325,,,,,,
385,11.702,206.10954,"(Z)-4,4-Dimethyl-2-phenylthio-2-pentene",,,,191.08554,,,C13 H18 S,,,,,,,,,,,,,,,,,,,,,0.727,51.9,594,2066,,,,42700,14906,42005,42980,23123,119562,,3045,3897,103680,8026,222382,25672,35360,86511,625384,24407,718805,421200,14352,,,,,,
386,11.702,483.19061,Peak@11.706,,,,145.06801,,,,,,,,,,,,,,,,,,,,,,,,0,,,2067,,,,,431006,1222,766085,93269,172071,,,,,,61706,959975,165748,733820,2369,275,,383106,450598,,,,,,
387,11.711,343.06738,Peak@11.711,,,,417.08554,,,,,,,,,,,,,,,,,,,,,,,,0,,,2067,,,,140325,6885,9912,20147,34748,182943,,602,646,389773,80317,146909,272814,23002,173773,163189,39963,683123,82023,192896,,,,,,
388,11.732,165.16428,"Octane, 1-(1-ethoxyethoxy)-",,,,72.05701,,,C12 H26 O2,,,,,,,,,,,,,,,,,,,,,0.923,97.7,660,2070,,,,37697,17434,7096,34946,14712,85942,,,,171044,111993,185037,195878,116224,65188,31356,9869,11110,25658,9406,,,,,,
